Depth CSF-A (m),Porosity (vol%),NGR total counts (cps),Reflectance L*,Reflectance a*,Reflectance b*
19.98,60.0,17.306,45.3,3.4,3.0
20.16,44.4,38.935,39.5,-2.0,5.0
20.18,72.5,25.27,49.6,2.4,11.5
20.18,80.9,19.74,47.0,2.5,24.1
20.2,67.5,26.2,59.63,3.35,15.78
20.2,43.4,55.54,39.0,0.6,-2.1
20.28,76.1,29.92,47.5,-3.9,1.1
20.46,77.4,15.56,58.3,-2.8,0.5
20.47,78.0,24.65,44.9,-2.3,2.9
20.63,83.0,23.62,44.8,-3.6,2.7
20.64,42.8,42.75,46.1,0.2,-2.6
20.88,69.5,38.498,41.8,1.5,7.3
20.9,68.1,14.8,72.32,0.14,10.84
20.9,68.1,14.8,72.32,0.14,10.84
20.95,73.6,30.04,53.6,5.8,15.8
21.0,67.5,25.6,63.86,3.14,16.83
21.0,63.5,28.4,50.14,-1.62,10.94
21.11,46.9,52.909,45.7,-1.1,1.0
21.18,68.2,19.23,71.0,6.1,15.0
21.18,68.2,19.23,71.0,6.1,15.0
21.24,61.6,16.374,55.8,2.7,7.6
21.28,42.2,45.211,39.4,1.27,-2.28
21.3,70.8,23.8,54.93,0.45,10.41
21.3,68.9,32.2,59.31,0.42,14.15
21.38,68.4,21.5,52.0,1.7,2.0
21.4,59.1,28.0,52.17,-0.9,7.18
21.4,59.1,28.0,52.17,-0.9,7.18
21.57,76.5,24.63,54.9,2.2,5.4
21.6,79.7,22.97,48.8,-1.7,1.2
21.67,41.3,55.447,40.0,-0.6,0.0
21.68,79.5,18.6,53.5,4.9,21.4
21.7,71.5,23.6,62.34,2.63,16.99
21.77,69.8,22.584,41.4,2.1,4.6
21.78,74.1,34.06,44.2,-1.8,1.5
21.78,74.1,34.06,44.2,-1.8,1.5
21.84,44.1,39.271,31.3,-1.1,0.9
21.84,70.2,21.119,39.7,0.9,7.6
21.86,46.2,39.271,21.9,1.3,-2.9
21.9,71.6,28.31,56.9,4.7,14.2
21.91,65.3,21.741,39.1,0.7,8.9
21.94,44.4,56.388,43.0,-0.6,2.0
21.96,75.6,12.39,55.5,-1.8,1.4
22.06,51.6,50.309,49.3,-0.6,-3.3
22.13,83.8,19.13,55.4,-2.3,-1.1
22.4,68.7,19.4,61.53,0.45,9.79
22.46,47.2,58.441,49.6,-1.6,2.9
22.48,46.7,58.441,49.6,-1.6,2.9
22.49,71.1,35.73,50.6,-0.1,0.2
22.5,45.4,38.846,46.4,-0.8,0.3
22.5,68.4,23.2,65.48,3.1,17.8
22.5,63.9,25.0,51.98,-1.21,11.58
22.5,63.8,11.3,54.4,2.6,7.7
22.68,44.9,46.208,47.91,1.94,-1.26
22.71,69.3,19.04,68.8,5.9,16.0
22.8,65.4,35.6,55.09,0.02,14.59
22.8,65.4,35.6,55.09,0.02,14.59
22.8,61.9,31.2,56.36,0.43,10.45
22.88,67.1,24.23,48.4,0.5,1.1
22.9,61.7,22.6,60.07,-0.64,11.11
22.93,71.1,34.697,32.0,1.2,4.5
22.95,46.7,58.854,50.6,-1.3,1.9
22.98,46.1,58.854,50.6,-1.3,1.9
23.07,64.9,16.688,45.9,1.0,11.5
23.1,25.5,66.653,44.8,-0.9,2.3
23.1,25.5,66.653,44.8,-0.9,2.3
23.15,79.6,23.52,52.5,7.2,22.3
23.2,75.8,24.4,62.99,5.07,24.05
23.2,75.8,24.4,62.99,5.07,24.05
23.23,65.6,25.258,42.8,0.9,8.8
23.24,70.7,27.281,38.8,1.1,11.0
23.26,39.7,42.526,37.0,0.3,-0.2
23.28,70.3,33.46,36.4,-0.2,5.1
