label,Depth CSF-A (m),Porosity (vol%),NGR total counts (cps),Reflectance L*,Reflectance a*,Reflectance b*
342-U1403A-002H-5-0.38,12.18,69.1,29.51,55.2,5.9,16.9
194-1195B-002H-3-0.8,12.2,68.0,34.2,59.32,0.17,12.41
317-U1351B-002H-3-1.4,12.2,46.3,47.262,44.9,-1.1,2.3
342-U1411B-003H-2-0.38,12.28,51.4,28.75,45.8,2.3,4.6
359-U1470A-003H-1-0.69,12.29,68.0,29.384,34.9,1.3,6.7
317-U1351A-003H-1-0.13,12.33,48.4,44.12,40.7,-1.1,2.4
359-U1465A-002H-4-0.74,12.34,72.7,9.934,49.3,3.2,4.5
342-U1409A-003H-2-0.38,12.48,66.0,25.52,53.7,3.0,2.3
342-U1405A-002H-5-0.38,12.58,71.5,27.71,47.2,5.4,17.2
342-U1405A-002H-5-0.38,12.58,71.5,27.71,47.2,5.4,17.2
342-U1406A-002H-5-0.38,12.58,79.1,10.94,71.4,4.0,11.8
342-U1402B-002H-5-1.13,12.7,57.3,58.68,21.9,-2.0,9.9
194-1197A-002H-5-0.8,12.9,51.6,18.0,64.7,1.24,15.29
342-U1408A-002H-7-0.18,12.99,80.4,20.46,58.5,1.6,11.5
194-1194A-002H-6-0.8,13.0,61.5,25.8,51.56,-0.91,11.71
194-1195A-002H-6-0.8,13.0,69.1,29.0,58.76,0.42,11.85
342-U1404A-002H-7-0.27,13.01,76.5,26.73,43.8,2.7,12.1
372-U1517C-002H-5-1.36,13.06,44.3,48.247,39.61,1.17,-3.21
359-U1466A-002H-6-0.55,13.07,78.3,15.986,48.2,3.3,7.3
317-U1352B-002H-4-0.44,13.14,44.5,55.72,46.2,-0.2,-3.6
317-U1351B-002H-4-0.995,13.3,47.9,52.685,40.1,-0.6,2.3
194-1198A-002H-6-0.8,13.3,61.9,24.8,64.44,-0.55,10.74
194-1192A-002H-3-0.8,13.3,60.9,23.0,56.41,0.05,11.42
194-1198A-002H-6-0.8,13.3,61.9,24.8,64.44,-0.55,10.74
342-U1410A-002H-4-0.38,13.38,67.4,19.77,43.2,-0.1,0.9
342-U1410A-002H-4-0.38,13.38,67.4,19.77,43.2,-0.1,0.9
194-1193A-002H-5-0.8,13.4,53.6,26.8,52.4,-0.44,9.69
342-U1407A-002H-6-0.23,13.4,68.0,25.56,60.35,4.9,11.7
359-U1468A-003H-1-0.64,13.54,57.9,24.621,51.6,2.0,8.3
317-U1354B-004H-1-1.45,13.55,46.2,62.61,46.9,-0.8,1.5
317-U1354B-004H-1-1.48,13.58,45.3,62.61,49.7,-1.4,2.5
342-U1403A-002H-6-0.38,13.68,71.6,29.7,42.6,7.1,27.7
194-1195B-002H-4-0.8,13.7,69.5,21.8,61.06,0.4,12.74
359-U1467B-003H-1-0.73,13.73,75.1,21.544,39.5,1.3,8.8
359-U1467A-003H-1-0.74,13.74,68.8,18.791,43.2,0.8,9.7
342-U1411B-003H-3-0.38,13.78,55.6,32.0,52.0,1.7,0.0
359-U1465A-002H-5-0.74,13.84,67.3,19.704,49.0,4.1,6.3
317-U1352B-002H-4-1.17,13.87,41.3,55.9,45.8,0.7,-3.1
194-1195A-002H-7-0.2,13.9,53.0,25.2,60.65,0.43,10.77
194-1194A-002H-7-0.2,13.9,63.1,23.6,53.61,-0.78,12.48
342-U1405A-002H-6-0.27,13.97,69.8,26.2,53.7,3.9,9.5
342-U1409A-003H-3-0.38,13.98,63.7,23.31,53.5,2.0,2.3
317-U1353B-002H-5-0.21,13.98,44.3,31.959,36.6,0.4,-1.3
342-U1406A-002H-6-0.38,14.08,80.0,9.64,68.7,4.3,14.0
194-1192A-002H-4-0.1,14.1,67.2,30.0,55.82,0.14,11.73
342-U1408A-003H-1-0.38,14.18,79.3,19.33,53.4,4.4,22.0
194-1198A-002H-7-0.2,14.2,66.6,23.4,68.81,-0.5,9.92
317-U1352B-002H-5-0.07,14.27,39.2,52.168,53.3,-0.3,-2.4
372-U1517C-002H-6-1.16,14.36,44.0,46.651,38.88,1.14,-0.99
194-1197A-002H-6-0.8,14.4,65.4,21.8,62.15,0.99,10.91
194-1197A-002H-6-0.8,14.4,65.4,21.8,62.15,0.99,10.91
317-U1351A-003H-2-0.745,14.44,47.2,84.946,41.2,-0.8,2.3
317-U1351B-002H-5-0.995,14.8,46.0,40.238,43.7,-0.9,2.2
317-U1351B-002H-5-0.995,14.8,46.0,40.238,43.7,-0.9,2.2
359-U1471A-003H-1-0.74,14.84,71.7,24.188,44.0,1.4,7.4
342-U1410A-002H-5-0.38,14.88,74.5,25.67,49.4,1.2,1.0
194-1193A-002H-6-0.8,14.9,53.2,35.8,51.8,-0.85,9.26
342-U1407A-002H-7-0.25,14.92,69.2,25.12,60.3,6.3,19.9
342-U1403A-002H-7-0.15,14.95,71.1,26.11,39.1,4.2,29.9
