DEPTH_WMSF,HCGR,HFK,HTHO,HURA,IDPH,IMPH,SFLU,lithology
92.8852,11.4673,0.2648,2.1265,0.3631,46.6488,124.4472,1.5966,Interbedded clay and mud
93.0376,11.4477,0.2668,2.1085,0.3465,46.6488,124.4472,1.5966,Interbedded clay and mud
93.19,11.4271,0.2688,2.0907,0.4526,46.6488,124.4472,1.5966,Interbedded clay and mud
93.3424,11.9449,0.2737,2.2275,0.4642,46.6488,124.4472,1.5966,Interbedded clay and mud
93.4948,12.942,0.2872,2.4685,0.3903,46.6488,124.4472,1.5966,Interbedded clay and mud
93.6472,12.4396,0.2804,2.3472,0.4113,46.6488,124.4472,1.5966,Interbedded clay and mud
93.7996,12.0411,0.2727,2.2648,0.4195,46.6488,124.4472,1.5966,Interbedded clay and mud
93.952,10.8204,0.2551,1.9759,0.4772,46.6488,124.4472,1.5966,Interbedded clay and mud
94.1044,11.7855,0.277,2.1572,0.4903,46.6488,124.4472,1.5966,Interbedded clay and mud
94.2568,11.7243,0.2594,2.2407,0.5279,46.6488,124.4472,1.5966,Interbedded clay and mud
94.4092,12.2765,0.2897,2.2406,0.4976,46.6488,124.4472,1.5966,Interbedded clay and mud
94.5616,12.8434,0.297,2.3797,0.4869,46.6488,124.4472,1.5966,Interbedded clay and mud
94.714,14.9621,0.348,2.7603,0.5051,46.6488,124.4472,1.5966,Interbedded clay and mud
94.8664,16.2164,0.3579,3.1046,0.5521,46.6488,124.4472,1.5966,Interbedded sand and mud 
95.0188,17.6996,0.4024,3.3198,0.6,46.6488,124.4472,1.5966,Interbedded sand and mud 
95.1712,19.0051,0.4297,3.5783,0.7574,46.6488,124.4472,1.5966,Interbedded sand and mud 
95.3236,20.4177,0.4453,3.9402,0.7655,46.6488,124.4472,1.5966,Interbedded sand and mud 
95.476,18.7842,0.4163,3.586,0.6902,46.6488,124.4472,1.5966,Interbedded sand and mud 
95.6284,15.311,0.3142,3.07,0.4581,46.6488,124.4472,1.5966,Interbedded clay and mud
95.7808,13.723,0.2801,2.7602,0.2568,46.6488,124.4472,1.5966,Interbedded clay and mud
95.9332,12.532,0.2681,2.4487,0.2243,46.6488,124.4472,1.5966,Interbedded clay and mud
96.0856,13.8736,0.2834,2.7896,0.2116,46.6488,124.4472,1.5966,Interbedded clay and mud
96.238,15.3476,0.3115,3.0978,0.1935,46.6488,124.4472,1.5966,Interbedded clay and mud
96.3904,15.7144,0.3054,3.2511,0.2042,46.6488,124.4472,1.5966,Interbedded clay and mud
96.5428,14.7059,0.3029,2.9419,0.179,46.6488,124.4472,1.5966,Interbedded clay and mud
96.8476,10.7013,0.2062,2.224,0.2902,46.6488,124.4472,1.5966,Interbedded clay and mud
97,8.4681,0.1622,1.766,0.3539,46.6488,124.4472,1.5966,Interbedded clay and mud
97.1524,7.9436,0.1465,1.6896,0.3339,46.6488,124.4472,1.5966,Interbedded clay and mud
97.3048,7.0327,0.1378,1.4484,0.3868,46.6488,124.4472,1.5966,Interbedded sand and mud 
97.4572,6.2444,0.114,1.3351,0.5028,46.6488,124.4472,1.5966,Interbedded sand and mud 
97.6096,6.1328,0.1007,1.377,0.5564,46.6488,124.4472,1.5966,Interbedded clay and mud
97.762,5.0445,0.086,1.114,0.5727,46.6488,124.4472,1.5966,Interbedded sand and mud 
97.9144,5.1119,0.0869,1.1305,0.5649,46.6488,124.4472,1.5966,Interbedded sand and mud 
98.0668,4.181,0.0648,0.9615,0.5934,46.6488,124.4472,1.5966,Interbedded sand and mud 
98.2192,3.9576,0.0738,0.8371,0.6455,46.6488,124.4472,1.5966,Interbedded sand and mud 
98.3716,3.3954,0.0547,0.7686,0.5934,46.6488,124.4472,1.5966,Interbedded sand and mud 
98.524,4.2817,0.0725,0.9486,0.4536,46.6488,124.4472,1.5966,Interbedded sand and mud 
98.6764,4.7338,0.0912,0.9842,0.3865,46.6488,124.4472,1.5966,Interbedded sand and mud 
98.8288,4.7431,0.103,0.9177,0.4817,46.6488,124.4472,1.5966,Interbedded sand and mud 
98.9812,5.3509,0.1137,1.0501,0.5633,46.6488,124.4472,1.5966,Interbedded sand and mud 
